Genotype,Evo.trt,Index,Gene,repsWithMutation,pvalue,padj,significant
sch9,NL,397,YPR204W,2,0,0,1
sch9,NL,398,YEL077C,2,0.014187045,0.020996827,1
sch9,NL,399,YHR054C,2,0.001680045,0.00565106,1
sch9,NL,400,YLR035C-A,3,0,0,1
sch9,NL,401,YMR317W,3,0.005600149,0.011632591,1
sch9,NL,402,YPL146C,2,0.005973493,0.011632591,1
sch9,NL,403,Q0140,2,0.004293448,0.011346969,1
sch9,NL,404,YBL081W,2,0.007093522,0.013123017,1
sch9,NL,405,YOL034W,2,0.02613403,0.030557583,1
sch9,NL,406,YBL022C,2,0.02725406,0.030557583,1
sch9,NL,407,YBR003W,2,0.001493373,0.00565106,1
sch9,NL,408,YLR454W,2,0.020720553,0.028394831,1
sch9,NL,409,YDR145W,2,0.010640284,0.017895023,1
sch9,NL,410,YGL058W,2,0.00336009,0.009563332,1
sch9,NL,411,YLL003W,2,0.026507374,0.030557583,1
sch9,NL,412,YOL076W,2,0.000186672,0.001151142,1
tif2,NL,413,YBL113C,3,0.000933358,0.009706926,1
tif2,NL,414,YLR247C,2,0.042934478,0.042934478,1
tif2,NL,415,YMR317W,2,0.002800075,0.010400277,1
tif2,NL,416,YOL155C,2,0.001866716,0.009706926,1
tif2,NL,417,YDR080W,2,0,0,1
tif2,NL,418,YNL054W,2,0.026880717,0.029727459,1
tif2,NL,419,YLR087C,4,0.002800075,0.010400277,1
tif2,NL,420,YLR450W,2,0.015120403,0.021840582,1
tif2,NL,421,YBL079W,2,0.031360836,0.03261527,1
tif2,NL,422,YDL132W,2,0.019413851,0.022943642,1
tif2,NL,423,YDR245W,2,0.004666791,0.011913045,1
tif2,NL,424,YML069W,2,0.011013627,0.017897144,1
tif2,NL,425,YDR232W,2,0.006906851,0.012827009,1
tif2,NL,426,YMR124W,3,0.001680045,0.009706926,1
tif2,NL,427,YAL022C,2,0.005600149,0.012133657,1
tif2,NL,428,YCL031C,2,0.004666791,0.011913045,1
tif2,NL,429,YCL030C,2,0.018293821,0.022943642,1
tif2,NL,430,YDR219C,2,0.006906851,0.012827009,1
tif2,NL,431,YKL204W,2,0.005040134,0.011913045,1
tif2,NL,432,YPR008W,2,0.008213552,0.014236824,1
tif2,NL,433,YGR023W,2,0.001493373,0.009706926,1
tif2,NL,434,YLR389C,2,0.016240433,0.022223751,1
tif2,NL,435,YBR017C,2,0.014933732,0.021840582,1
tif2,NL,436,YDR135C,2,0.027440732,0.029727459,1
tif2,NL,437,YOL017W,2,0.019227179,0.022943642,1
tif2,NL,438,Q0115,2,0.004480119,0.011913045,1
tor1,NL,439,YMR317W,5,0,0,1
tor1,NL,440,YOL155C,4,0.002053388,0.004853463,1
tor1,NL,441,YAR050W,3,0,0,1
tor1,NL,442,YHR211W,2,0.016427105,0.01779603,1
tor1,NL,443,Q0140,2,0.00112003,0.003235642,1
tor1,NL,444,YEL063C,2,0.00336009,0.006147719,1
tor1,NL,445,YBR150C,2,0.005973493,0.008429698,1
tor1,NL,446,YLR207W,4,0,0,1
tor1,NL,447,YNL271C,3,0.009146911,0.011324746,1
tor1,NL,448,YDR299W,2,0.005226806,0.007993939,1
tor1,NL,449,YKL139W,2,0.007840209,0.010192272,1
tor1,NL,450,YCR011C,3,0.00112003,0.003235642,1
tor1,NL,451,YMR164C,2,0.00224006,0.004853463,1
tor1,NL,452,YOL013C,2,0.000746687,0.002773407,1
tor1,NL,453,YBL113C,3,0,0,1
tor1,NL,454,YLR035C-A,2,0,0,1
tor1,NL,455,YAL063C,2,0,0,1
tor1,NL,456,YPL016W,3,0.003546761,0.006147719,1
tor1,NL,457,YDR174W,2,0.002613403,0.005226806,1
tor1,NL,458,YDR309C,2,0.001680045,0.004368116,1
tor1,NL,459,YGL216W,2,0.011760314,0.013898552,1
tor1,NL,460,YGR092W,2,0.006160164,0.008429698,1
tor1,NL,461,YEL040W,2,0.014933732,0.01688161,1
tor1,NL,462,YLR318W,2,0.003920105,0.00637017,1
ypt6,NL,463,YBL113C,5,0,0,1
ypt6,NL,464,YEL077C,2,0.003733433,0.008328427,1
ypt6,NL,465,YHR054C,3,0,0,1
ypt6,NL,466,YMR317W,2,0.005040134,0.009135244,1
ypt6,NL,467,YOL155C,3,0.002986746,0.007874149,1
ypt6,NL,468,YAL063C,2,0,0,1
ypt6,NL,469,YAR050W,2,0,0,1
ypt6,NL,470,YIL169C,2,0.005786821,0.009323212,1
ypt6,NL,471,YPL146C,2,0.001866716,0.006014975,1
ypt6,NL,472,YGL066W,2,0.023333956,0.027067388,1
ypt6,NL,473,YFR019W,2,0.007093522,0.010285608,1
ypt6,NL,474,YJL020C,2,0.004106776,0.008506894,1
ypt6,NL,475,YLR207W,2,0,0,1
ypt6,NL,476,YLR318W,4,0.002800075,0.007874149,1
ypt6,NL,477,YGL014W,2,0.030240806,0.032480866,1
ypt6,NL,478,YPL190C,3,0.003733433,0.008328427,1
ypt6,NL,479,YLL031C,2,0.021840582,0.026390704,1
ypt6,NL,480,YPR204W,2,0.004853463,0.009135244,1
ypt6,NL,481,YKL101W,2,0.048161284,0.048161284,1
ypt6,NL,482,YJR131W,2,0.016427105,0.020712436,1
ypt6,NL,483,YMR066W,2,0.005413478,0.009234756,1
ypt6,NL,484,YOR160W,2,0.025574015,0.028524863,1
